🕘️更新时间,#genre#
2025-08-13 07:13:49,http://223.167.209.254:35455/nptv/cetv1.m3u8

ITV央卫视,#genre#
中国教育电视台-NPTV,http://223.167.209.254:35455/nptv/cetv1.m3u8
中国教育电视台-NPTV,http://guyue0227.eicp.net:35455/nptv/cetv1.m3u8
中国教育电视台-NPTV,http://198.23.236.148:35455/nptv/cetv1.m3u8
中国教育电视台-NPTV,http://81.70.10.196:35455/nptv/cetv1.m3u8
中国教育电视台-NPTV,http://117.9.208.32:35455/nptv/cetv1.m3u8
中国教育电视台-NPTV,http://110.42.63.51:51396/nptv/cetv1.m3u8
中国教育电视台-NPTV,http://8.148.5.88:35455/nptv/cetv1.m3u8
中国教育电视台-NPTV,http://alist.xicp.fun:35455/nptv/cetv1.m3u8
中国教育电视台-NPTV,http://60.204.222.226:35455/nptv/cetv1.m3u8
中国教育电视台-NPTV,http://42.194.132.65:35455/nptv/cetv1.m3u8
cctv16-NPTV,http://223.167.209.254:35455/nptv/cctv16.m3u8
cctv16-NPTV,http://guyue0227.eicp.net:35455/nptv/cctv16.m3u8
cctv16-NPTV,http://198.23.236.148:35455/nptv/cctv16.m3u8
cctv16-NPTV,http://81.70.10.196:35455/nptv/cctv16.m3u8
cctv16-NPTV,http://117.9.208.32:35455/nptv/cctv16.m3u8
cctv16-NPTV,http://110.42.63.51:51396/nptv/cctv16.m3u8
cctv16-NPTV,http://8.148.5.88:35455/nptv/cctv16.m3u8
cctv16-NPTV,http://alist.xicp.fun:35455/nptv/cctv16.m3u8
cctv16-NPTV,http://60.204.222.226:35455/nptv/cctv16.m3u8
cctv16-NPTV,http://42.194.132.65:35455/nptv/cctv16.m3u8
cctv4k-NPTV,http://223.167.209.254:35455/nptv/cctv4k.m3u8
cctv4k-NPTV,http://guyue0227.eicp.net:35455/nptv/cctv4k.m3u8
cctv4k-NPTV,http://198.23.236.148:35455/nptv/cctv4k.m3u8
cctv4k-NPTV,http://81.70.10.196:35455/nptv/cctv4k.m3u8
cctv4k-NPTV,http://117.9.208.32:35455/nptv/cctv4k.m3u8
cctv4k-NPTV,http://110.42.63.51:51396/nptv/cctv4k.m3u8
cctv4k-NPTV,http://8.148.5.88:35455/nptv/cctv4k.m3u8
cctv4k-NPTV,http://alist.xicp.fun:35455/nptv/cctv4k.m3u8
cctv4k-NPTV,http://60.204.222.226:35455/nptv/cctv4k.m3u8
cctv4k-NPTV,http://42.194.132.65:35455/nptv/cctv4k.m3u8
cctv8k-NPTV,http://223.167.209.254:35455/nptv/cctv8k.m3u8
cctv8k-NPTV,http://guyue0227.eicp.net:35455/nptv/cctv8k.m3u8
cctv8k-NPTV,http://198.23.236.148:35455/nptv/cctv8k.m3u8
cctv8k-NPTV,http://81.70.10.196:35455/nptv/cctv8k.m3u8
cctv8k-NPTV,http://117.9.208.32:35455/nptv/cctv8k.m3u8
cctv8k-NPTV,http://110.42.63.51:51396/nptv/cctv8k.m3u8
cctv8k-NPTV,http://8.148.5.88:35455/nptv/cctv8k.m3u8
cctv8k-NPTV,http://alist.xicp.fun:35455/nptv/cctv8k.m3u8
cctv8k-NPTV,http://60.204.222.226:35455/nptv/cctv8k.m3u8
cctv8k-NPTV,http://42.194.132.65:35455/nptv/cctv8k.m3u8
cgtnar-NPTV,http://223.167.209.254:35455/nptv/cgtnar.m3u8
cgtnar-NPTV,http://guyue0227.eicp.net:35455/nptv/cgtnar.m3u8
cgtnar-NPTV,http://198.23.236.148:35455/nptv/cgtnar.m3u8
cgtnar-NPTV,http://81.70.10.196:35455/nptv/cgtnar.m3u8
cgtnar-NPTV,http://117.9.208.32:35455/nptv/cgtnar.m3u8
cgtnar-NPTV,http://110.42.63.51:51396/nptv/cgtnar.m3u8
cgtnar-NPTV,http://8.148.5.88:35455/nptv/cgtnar.m3u8
cgtnar-NPTV,http://alist.xicp.fun:35455/nptv/cgtnar.m3u8
cgtnar-NPTV,http://60.204.222.226:35455/nptv/cgtnar.m3u8
cgtnar-NPTV,http://42.194.132.65:35455/nptv/cgtnar.m3u8
cgtndoc-NPTV,http://223.167.209.254:35455/nptv/cgtndoc.m3u8
cgtndoc-NPTV,http://guyue0227.eicp.net:35455/nptv/cgtndoc.m3u8
cgtndoc-NPTV,http://198.23.236.148:35455/nptv/cgtndoc.m3u8
cgtndoc-NPTV,http://81.70.10.196:35455/nptv/cgtndoc.m3u8
cgtndoc-NPTV,http://117.9.208.32:35455/nptv/cgtndoc.m3u8
cgtndoc-NPTV,http://110.42.63.51:51396/nptv/cgtndoc.m3u8
cgtndoc-NPTV,http://8.148.5.88:35455/nptv/cgtndoc.m3u8
cgtndoc-NPTV,http://alist.xicp.fun:35455/nptv/cgtndoc.m3u8
cgtndoc-NPTV,http://60.204.222.226:35455/nptv/cgtndoc.m3u8
cgtndoc-NPTV,http://42.194.132.65:35455/nptv/cgtndoc.m3u8
cgtn-NPTV,http://223.167.209.254:35455/nptv/cgtn.m3u8
cgtn-NPTV,http://guyue0227.eicp.net:35455/nptv/cgtn.m3u8
cgtn-NPTV,http://198.23.236.148:35455/nptv/cgtn.m3u8
cgtn-NPTV,http://81.70.10.196:35455/nptv/cgtn.m3u8
cgtn-NPTV,http://117.9.208.32:35455/nptv/cgtn.m3u8
cgtn-NPTV,http://110.42.63.51:51396/nptv/cgtn.m3u8
cgtn-NPTV,http://8.148.5.88:35455/nptv/cgtn.m3u8
cgtn-NPTV,http://alist.xicp.fun:35455/nptv/cgtn.m3u8
cgtn-NPTV,http://60.204.222.226:35455/nptv/cgtn.m3u8
cgtn-NPTV,http://42.194.132.65:35455/nptv/cgtn.m3u8
cgtnfr-NPTV,http://223.167.209.254:35455/nptv/cgtnfr.m3u8
cgtnfr-NPTV,http://guyue0227.eicp.net:35455/nptv/cgtnfr.m3u8
cgtnfr-NPTV,http://198.23.236.148:35455/nptv/cgtnfr.m3u8
cgtnfr-NPTV,http://81.70.10.196:35455/nptv/cgtnfr.m3u8
cgtnfr-NPTV,http://117.9.208.32:35455/nptv/cgtnfr.m3u8
cgtnfr-NPTV,http://110.42.63.51:51396/nptv/cgtnfr.m3u8
cgtnfr-NPTV,http://8.148.5.88:35455/nptv/cgtnfr.m3u8
cgtnfr-NPTV,http://alist.xicp.fun:35455/nptv/cgtnfr.m3u8
cgtnfr-NPTV,http://60.204.222.226:35455/nptv/cgtnfr.m3u8
cgtnfr-NPTV,http://42.194.132.65:35455/nptv/cgtnfr.m3u8
cgtnru-NPTV,http://223.167.209.254:35455/nptv/cgtnru.m3u8
cgtnru-NPTV,http://guyue0227.eicp.net:35455/nptv/cgtnru.m3u8
cgtnru-NPTV,http://198.23.236.148:35455/nptv/cgtnru.m3u8
cgtnru-NPTV,http://81.70.10.196:35455/nptv/cgtnru.m3u8
cgtnru-NPTV,http://117.9.208.32:35455/nptv/cgtnru.m3u8
cgtnru-NPTV,http://110.42.63.51:51396/nptv/cgtnru.m3u8
cgtnru-NPTV,http://8.148.5.88:35455/nptv/cgtnru.m3u8
cgtnru-NPTV,http://alist.xicp.fun:35455/nptv/cgtnru.m3u8
cgtnru-NPTV,http://60.204.222.226:35455/nptv/cgtnru.m3u8
cgtnru-NPTV,http://42.194.132.65:35455/nptv/cgtnru.m3u8
cgtnsp-NPTV,http://223.167.209.254:35455/nptv/cgtnsp.m3u8
cgtnsp-NPTV,http://guyue0227.eicp.net:35455/nptv/cgtnsp.m3u8
cgtnsp-NPTV,http://198.23.236.148:35455/nptv/cgtnsp.m3u8
cgtnsp-NPTV,http://81.70.10.196:35455/nptv/cgtnsp.m3u8
cgtnsp-NPTV,http://117.9.208.32:35455/nptv/cgtnsp.m3u8
cgtnsp-NPTV,http://110.42.63.51:51396/nptv/cgtnsp.m3u8
cgtnsp-NPTV,http://8.148.5.88:35455/nptv/cgtnsp.m3u8
cgtnsp-NPTV,http://alist.xicp.fun:35455/nptv/cgtnsp.m3u8
cgtnsp-NPTV,http://60.204.222.226:35455/nptv/cgtnsp.m3u8
cgtnsp-NPTV,http://42.194.132.65:35455/nptv/cgtnsp.m3u8
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8
湖南卫视-NPTV,http://223.167.209.254:35455/nptv/hunan.m3u8
湖南卫视-NPTV,http://guyue0227.eicp.net:35455/nptv/hunan.m3u8
湖南卫视-NPTV,http://198.23.236.148:35455/nptv/hunan.m3u8
湖南卫视-NPTV,http://81.70.10.196:35455/nptv/hunan.m3u8
湖南卫视-NPTV,http://117.9.208.32:35455/nptv/hunan.m3u8
湖南卫视-NPTV,http://110.42.63.51:51396/nptv/hunan.m3u8
湖南卫视-NPTV,http://8.148.5.88:35455/nptv/hunan.m3u8
湖南卫视-NPTV,http://alist.xicp.fun:35455/nptv/hunan.m3u8
湖南卫视-NPTV,http://60.204.222.226:35455/nptv/hunan.m3u8
湖南卫视-NPTV,http://42.194.132.65:35455/nptv/hunan.m3u8
东方卫视,http://drive.mxmy.net:8888/udp/239.3.1.136:8032
江苏卫视,http://111.14.181.15:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://36.105.100.208:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
广东卫视,http://drive.mxmy.net:8888/udp/239.3.1.142:8048
江西卫视,http://satellitepull.cnr.cn/live/wx32jiangxws/playlist.m3u8
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
陕西卫视,http://satellitepull.cnr.cn/live/wxsxxws/playlist.m3u8
湖北卫视,http://satellitepull.cnr.cn/live/wx32hubws/playlist.m3u8
青海卫视,http://satellitepull.cnr.cn/live/wx32qhws/playlist.m3u8
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
海南卫视,http://satellitepull.cnr.cn/live/wxhainlyws/playlist.m3u8
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
北京卫视-NPTV,http://223.167.209.254:35455/nptv/beijing.m3u8
北京卫视-NPTV,http://guyue0227.eicp.net:35455/nptv/beijing.m3u8
北京卫视-NPTV,http://198.23.236.148:35455/nptv/beijing.m3u8
北京卫视-NPTV,http://81.70.10.196:35455/nptv/beijing.m3u8
北京卫视-NPTV,http://117.9.208.32:35455/nptv/beijing.m3u8
北京卫视-NPTV,http://110.42.63.51:51396/nptv/beijing.m3u8
北京卫视-NPTV,http://8.148.5.88:35455/nptv/beijing.m3u8
北京卫视-NPTV,http://alist.xicp.fun:35455/nptv/beijing.m3u8
北京卫视-NPTV,http://60.204.222.226:35455/nptv/beijing.m3u8
北京卫视-NPTV,http://42.194.132.65:35455/nptv/beijing.m3u8
江苏卫视-NPTV,http://223.167.209.254:35455/nptv/jiangsu.m3u8
江苏卫视-NPTV,http://guyue0227.eicp.net:35455/nptv/jiangsu.m3u8
江苏卫视-NPTV,http://198.23.236.148:35455/nptv/jiangsu.m3u8
江苏卫视-NPTV,http://81.70.10.196:35455/nptv/jiangsu.m3u8
江苏卫视-NPTV,http://117.9.208.32:35455/nptv/jiangsu.m3u8
江苏卫视-NPTV,http://110.42.63.51:51396/nptv/jiangsu.m3u8
江苏卫视-NPTV,http://8.148.5.88:35455/nptv/jiangsu.m3u8
江苏卫视-NPTV,http://alist.xicp.fun:35455/nptv/jiangsu.m3u8
江苏卫视-NPTV,http://60.204.222.226:35455/nptv/jiangsu.m3u8
江苏卫视-NPTV,http://42.194.132.65:35455/nptv/jiangsu.m3u8
东方卫视-NPTV,http://223.167.209.254:35455/nptv/dongfang.m3u8
东方卫视-NPTV,http://guyue0227.eicp.net:35455/nptv/dongfang.m3u8
东方卫视-NPTV,http://198.23.236.148:35455/nptv/dongfang.m3u8
东方卫视-NPTV,http://81.70.10.196:35455/nptv/dongfang.m3u8
东方卫视-NPTV,http://117.9.208.32:35455/nptv/dongfang.m3u8
东方卫视-NPTV,http://110.42.63.51:51396/nptv/dongfang.m3u8
