温馨提示,#genre#
免费分享,https://vd2.bdstatic.com/mda-refjgvx7nhrha8js/cae_h264/1747403357338896764/mda-refjgvx7nhrha8js.mp4
推流测试,#genre#
凤凰卫视台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=RrK5Hi&tk=rEn9EFsDoGWX
凤凰资讯台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=2PIQFh&tk=rEn9EFsDoGWX
凤凰香港台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=uWzus3&tk=rEn9EFsDoGWX
TVB翡翠台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=PDlpMg&tk=rEn9EFsDoGWX
无线新闻台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=8kmCfk&tk=rEn9EFsDoGWX
TVB明珠台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=gihpvA&tk=rEn9EFsDoGWX
TVB Plus,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=BRIARZ&tk=rEn9EFsDoGWX
中天新闻台,http://rihou.cc:555/tv/hktv/tb19tw0811twjk
TVBS HD,http://rihou.cc:555/tv/hktv/tb19tw0812twjk
Now星影台,http://rihou.cc:555/tv/hktv/tbnowxyr
​Now爆谷台,http://rihou.cc:555/tv/hktv/tbnowbgxyr
好莱坞电影台,http://rihou.cc:555/tv/​hktv/tbbgh081765xyr
美亚电影(台湾),http://rihou.cc:555/tv/hktv/tbb20my
猪哥亮歌厅秀,http://rihou.cc:555/tv/hktv/twzgft
TVB测试,#genre#
翡翠台双音轨双字幕,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=hHoU87&tk=rEn9EFsDoGWX
TVB Plus双音轨双字幕,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=wEXcy1&tk=rEn9EFsDoGWX
無綫新聞台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=dNKQUH&tk=rEn9EFsDoGWX
明珠台双音轨双字幕,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=3oG5wb&tk=rEn9EFsDoGWX
Now 新聞台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=WeFphh&tk=rEn9EFsDoGWX
ViuTV双音轨,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=vqaaVv&tk=rEn9EFsDoGWX
ViuTVsix双音轨,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=iWa032&tk=rEn9EFsDoGWX
香港频道,#genre#
Nick Jr.,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=hAsL3L&tk=rEn9EFsDoGWX
Nickelodeon,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=dRxj7s&tk=rEn9EFsDoGWX
Now星影台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=8JHcK1&tk=rEn9EFsDoGWX
Now爆谷台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=ZlIbij&tk=rEn9EFsDoGWX
PopC,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=UvPuZf&tk=rEn9EFsDoGWX
ROCK Action,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=UM6TVt&tk=rEn9EFsDoGWX
TVB Plus,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=BD18W3&tk=rEn9EFsDoGWX
Thrill,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=AY6MC2&tk=rEn9EFsDoGWX
ZooMoo,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=2aa8lO&tk=rEn9EFsDoGWX
功夫台,http://bak.dou.ddns-ip.net/api.php?n=HKTV&id=geF1p5&tk=rEn9EFsDoGWX
