央视卫视,#genre#
CCTV1,http://156.238.248.80:8880/play/1.790779.m3u8
CCTV2,http://156.238.248.80:8880/play/2.639918.m3u8
CCTV3,http://156.238.248.80:8880/play/3.521448.m3u8
CCTV4,http://156.238.248.80:8880/play/4.345188.m3u8
CCTV5,http://156.238.248.80:8880/play/5.133114.m3u8
CCTV5+,http://156.238.248.80:8880/play/6.450239.m3u8
CCTV6,http://156.238.248.80:8880/play/7.379997.m3u8
CCTV7,http://156.238.248.80:8880/play/8.573063.m3u8
CCTV8,http://156.238.248.80:8880/play/9.104343.m3u8
CCTV9,http://156.238.248.80:8880/play/10.628013.m3u8
CCTV10,http://156.238.248.80:8880/play/11.785243.m3u8
CCTV11,http://156.238.248.80:8880/play/12.452174.m3u8
CCTV12,http://156.238.248.80:8880/play/13.747455.m3u8
CCTV13,http://156.238.248.80:8880/play/14.284857.m3u8
CCTV14,http://156.238.248.80:8880/play/15.859722.m3u8
CCTV15,http://156.238.248.80:8880/play/16.609271.m3u8
CCTV17,http://156.238.248.80:8880/play/17.202627.m3u8
重庆卫视,http://156.238.248.80:8880/play/18.746435.m3u8
四川卫视,http://156.238.248.80:8880/play/19.516070.m3u8
江苏卫视,http://156.238.248.80:8880/play/20.244407.m3u8
浙江卫视,http://156.238.248.80:8880/play/21.526170.m3u8
东方卫视,http://156.238.248.80:8880/play/22.653302.m3u8
湖南卫视,http://156.238.248.80:8880/play/23.402440.m3u8
北京卫视,http://156.238.248.80:8880/play/24.950000.m3u8
深圳卫视,http://156.238.248.80:8880/play/25.787401.m3u8
广东卫视,http://156.238.248.80:8880/play/26.927506.m3u8
山东卫视,http://156.238.248.80:8880/play/27.826199.m3u8
安徽卫视,http://156.238.248.80:8880/play/28.360149.m3u8
天津卫视,http://156.238.248.80:8880/play/29.430618.m3u8
贵州卫视,http://156.238.248.80:8880/play/30.317894.m3u8
黑龙江卫视,http://156.238.248.80:8880/play/31.244996.m3u8
江西卫视,http://156.238.248.80:8880/play/32.291391.m3u8
河北卫视,http://156.238.248.80:8880/play/33.232938.m3u8
湖北卫视,http://156.238.248.80:8880/play/34.549621.m3u8
海南卫视,http://156.238.248.80:8880/play/35.956243.m3u8
东南卫视,http://156.238.248.80:8880/play/36.390430.m3u8
辽宁卫视,http://156.238.248.80:8880/play/37.669989.m3u8
云南卫视,http://156.238.248.80:8880/play/38.767531.m3u8
广西卫视,http://156.238.248.80:8880/play/39.448475.m3u8
山西卫视,http://156.238.248.80:8880/play/40.798788.m3u8
陕西卫视,http://156.238.248.80:8880/play/41.448962.m3u8
河南卫视,http://156.238.248.80:8880/play/42.929960.m3u8
吉林卫视,http://156.238.248.80:8880/play/43.125203.m3u8
内蒙古卫视,http://156.238.248.80:8880/play/44.630382.m3u8
宁夏卫视,http://156.238.248.80:8880/play/45.683922.m3u8
甘肃卫视,http://156.238.248.80:8880/play/46.665216.m3u8
青海卫视,http://156.238.248.80:8880/play/47.992465.m3u8
新疆卫视,http://156.238.248.80:8880/play/48.166645.m3u8
CCTV1,http://156.238.248.80:8880/play/49.800210.m3u8
CCTV1,http://156.238.248.80:8880/play/50.456032.m3u8
CCTV2,http://156.238.248.80:8880/play/51.435402.m3u8
CCTV2,http://156.238.248.80:8880/play/52.609835.m3u8
CCTV3,http://156.238.248.80:8880/play/53.775663.m3u8
CCTV3,http://156.238.248.80:8880/play/54.974191.m3u8
CCTV4,http://156.238.248.80:8880/play/55.843589.m3u8
CCTV4,http://156.238.248.80:8880/play/56.582142.m3u8
CCTV5,http://156.238.248.80:8880/play/57.288454.m3u8
CCTV5+,http://156.238.248.80:8880/play/58.590827.m3u8
CCTV6,http://156.238.248.80:8880/play/59.373473.m3u8
CCTV6,http://156.238.248.80:8880/play/60.641853.m3u8
CCTV7,http://156.238.248.80:8880/play/61.370610.m3u8
CCTV7,http://156.238.248.80:8880/play/62.751562.m3u8
CCTV8,http://156.238.248.80:8880/play/63.597734.m3u8
CCTV8,http://156.238.248.80:8880/play/64.489407.m3u8
CCTV9,http://156.238.248.80:8880/play/65.800699.m3u8
CCTV9,http://156.238.248.80:8880/play/66.966057.m3u8
CCTV10,http://156.238.248.80:8880/play/67.234889.m3u8
CCTV10,http://156.238.248.80:8880/play/68.315565.m3u8
CCTV11,http://156.238.248.80:8880/play/69.517410.m3u8
CCTV12,http://156.238.248.80:8880/play/70.660330.m3u8
CCTV13,http://156.238.248.80:8880/play/71.237365.m3u8
CCTV14,http://156.238.248.80:8880/play/72.696689.m3u8
CCTV14,http://156.238.248.80:8880/play/73.730303.m3u8
CCTV15,http://156.238.248.80:8880/play/74.502983.m3u8
CCTV15,http://156.238.248.80:8880/play/75.430875.m3u8
CCTV16,http://156.238.248.80:8880/play/76.163414.m3u8
CCTV16,http://156.238.248.80:8880/play/77.350084.m3u8
